MSE,05,10,15
0.05,0.011898,0.006779,0.001968
0.15,0.03727,0.021504,0.006696
0.25,0.06836,0.040011,0.0131
0.35,0.102032,0.060794,0.020708
0.45,0.136891,0.08271,0.029172
0.55,0.172055,0.105864,0.038469
0.65,0.207285,0.12953,0.048209
0.75,0.241888,0.153378,0.058502
0.85,0.275583,0.177191,0.069212
0.95,0.308548,0.201239,0.080163
1.05,0.34063,0.224883,0.091268
1.15,0.371694,0.248378,0.102599
1.25,0.401555,0.271482,0.114187
1.35,0.430399,0.294086,0.125551
1.45,0.457994,0.316415,0.137061
1.55,0.484423,0.338022,0.148627
1.65,0.509536,0.359199,0.160344
1.75,0.533671,0.379819,0.171894
1.85,0.556821,0.399959,0.183517
1.95,0.578712,0.419378,0.19505
2.05,0.599632,0.438493,0.206508
2.15,0.619662,0.456826,0.217801
2.25,0.638712,0.474657,0.228905
2.35,0.656766,0.492023,0.240147
2.45,0.673992,0.50875,0.251032
2.55,0.690339,0.525033,0.261701
2.65,0.705846,0.540653,0.272384
2.75,0.720561,0.555878,0.282942
2.85,0.73462,0.570582,0.293445
2.95,0.747872,0.58483,0.303574
3.05,0.760426,0.598523,0.31372
3.15,0.772331,0.611812,0.323823
3.25,0.783512,0.624472,0.333626
3.35,0.794252,0.636811,0.343281
3.45,0.804336,0.648871,0.352752
3.55,0.814087,0.660384,0.362095
3.65,0.823207,0.671545,0.371415
3.75,0.831936,0.682341,0.380551
3.85,0.840213,0.692764,0.389431
3.95,0.84811,0.702883,0.39837
4.05,0.855588,0.712634,0.407049
4.15,0.862637,0.721952,0.415669
4.25,0.869395,0.730898,0.42425
4.35,0.875863,0.739641,0.432469
4.45,0.882004,0.748195,0.440607
4.55,0.887752,0.756289,0.448611
4.65,0.893217,0.764148,0.456498
4.75,0.898397,0.771693,0.46418
4.85,0.903392,0.77907,0.471892
4.95,0.908092,0.786175,0.479546
5.05,0.912566,0.793057,0.486894
5.15,0.916758,0.799663,0.494227
5.25,0.920739,0.805995,0.501407
5.35,0.924589,0.812221,0.508421
5.45,0.928165,0.818227,0.51533
5.55,0.931606,0.823992,0.522035
5.65,0.934861,0.829651,0.528688
5.75,0.938008,0.834974,0.535272
5.85,0.940971,0.840159,0.541725
5.95,0.943728,0.845194,0.548149
6.05,0.946419,0.850054,0.554361
6.15,0.948984,0.85465,0.560575
6.25,0.951368,0.85916,0.56673
6.35,0.953688,0.863493,0.572658
6.45,0.955863,0.867713,0.57857
6.55,0.957938,0.871787,0.584305
6.65,0.959888,0.875718,0.589837
6.75,0.961783,0.879584,0.595399
6.85,0.963624,0.883304,0.600927
6.95,0.965329,0.886918,0.606356
7.05,0.966937,0.890408,0.611777
7.15,0.968476,0.893728,0.616983
7.25,0.969946,0.896905,0.622076
7.35,0.971309,0.900005,0.627117
7.45,0.972646,0.903068,0.632116
7.55,0.973888,0.906002,0.637032
7.65,0.975117,0.908852,0.641849
7.75,0.976284,0.911611,0.646631
