manager,aoii_avg,aoii_99,aoii_999,mse_avg,mse_99,mse_999
RSM,0.047305,2.0,4.0,2.312659,10.0305,15.5425
SSM,0.054241,2.0,4.0,2.244222,9.6505,14.9705
