manager,aoii_avg,aoii_99,aoii_999,mse_avg,mse_99,mse_999
RSM,0.054552,2.0,4.0,2.248716,9.6875,14.8475
SSM,0.054884,2.0,4.0,2.244635,9.6705,14.8695
