manager,aoii_avg,aoii_99,aoii_999,mse_avg,mse_99,mse_999
RSM,0.038608,1.0,3.0,2.487747,10.9975,17.3885
SSM,0.049208,2.0,4.0,2.308038,10.0415,15.6635
