P,MAF,FSA,AFSA,PPS
5,16.0,99.0,99.0,23.0
6,13.0,99.0,99.0,16.0
7,11.0,99.0,98.0,10.0
8,10.0,98.0,73.0,7.0
9,8.0,97.0,25.0,4.0
10,7.0,77.0,19.0,3.0
11,7.0,1.0,17.0,2.0
12,6.0,1.0,17.0,1.0
13,5.0,1.0,16.0,1.0
14,5.0,1.0,16.0,1.0
15,5.0,0.0,15.0,1.0
16,4.0,0.0,15.0,1.0
17,4.0,0.0,14.0,0.0
18,4.0,0.0,14.0,0.0
19,3.0,0.0,14.0,0.0
20,3.0,0.0,14.0,0.0
