rate,MAF,FSA,AFSA,PPS
1.0,5.0,0.0,8.0,0.0
1.0999999999999999,6.0,0.0,9.0,0.0
1.2,6.0,0.0,9.0,0.0
1.2999999999999998,6.0,0.0,10.0,0.0
1.3999999999999997,6.0,0.0,10.0,0.0
1.4999999999999996,6.0,0.0,11.0,0.0
1.5999999999999994,6.0,0.0,11.0,0.0
1.6999999999999995,7.0,0.0,12.0,0.0
1.7999999999999996,7.0,0.0,12.0,0.0
1.8999999999999992,7.0,0.0,13.0,0.0
1.9999999999999991,7.0,0.0,13.0,0.0
2.099999999999999,7.0,0.0,14.0,0.0
2.1999999999999993,7.0,0.0,14.0,1.0
2.299999999999999,7.0,0.0,15.0,1.0
2.3999999999999986,7.0,1.0,15.0,1.0
2.4999999999999987,7.0,1.0,16.0,1.0
2.5999999999999988,7.0,1.0,17.0,1.0
2.699999999999999,7.0,2.0,17.0,2.0
2.7999999999999985,7.0,3.0,18.0,2.0
2.8999999999999986,7.0,43.0,18.0,2.0
2.9999999999999987,7.0,77.0,19.0,3.0
3.0999999999999988,7.0,91.0,19.0,3.0
3.199999999999998,7.0,94.0,20.0,4.0
3.299999999999998,7.0,96.0,20.0,4.0
3.399999999999998,7.0,97.0,21.0,5.0
3.4999999999999982,8.0,98.0,22.0,5.0
3.599999999999998,8.0,98.0,32.0,6.0
3.6999999999999975,8.0,98.0,46.0,6.0
3.799999999999998,8.0,98.0,69.0,7.0
3.8999999999999977,8.0,99.0,75.0,8.0
3.9999999999999973,8.0,99.0,79.0,8.0
4.099999999999997,8.0,99.0,84.0,9.0
4.1999999999999975,8.0,99.0,91.0,9.0
4.299999999999997,8.0,99.0,95.0,10.0
4.399999999999998,8.0,99.0,96.0,10.0
4.499999999999997,8.0,99.0,97.0,11.0
4.599999999999997,8.0,99.0,98.0,11.0
4.6999999999999975,8.0,99.0,98.0,12.0
4.799999999999996,8.0,99.0,98.0,12.0
4.899999999999997,8.0,99.0,99.0,12.0
4.9999999999999964,8.0,99.0,99.0,13.0
