Q,PPS,CRA,MAF
5,27.0,25.0,15.0
6,14.0,20.0,12.0
7,12.0,13.0,11.0
8,11.0,11.0,9.0
9,10.0,12.0,8.0
10,9.0,11.0,7.0
11,8.0,8.0,7.0
12,8.0,8.0,6.0
13,7.0,8.0,5.0
14,7.0,8.0,5.0
15,6.0,6.0,5.0
16,6.0,6.0,4.0
17,6.0,6.0,4.0
18,5.0,6.0,4.0
19,5.0,5.0,4.0
20,5.0,5.0,3.0
