sigma_w,PPS,CRA,MAF
0.0,0.0005,0.0005,0.0005
0.05,1.1465,2.2635,2.5985
0.1,1.6935,3.3215,3.5955
0.15,2.4585,5.0495,5.2245
0.2,3.5415,7.2375,7.4885
0.25,4.9815,10.1665,10.3975
0.3,6.9695,13.7805,13.9435
0.35,9.0505,17.9095,18.1575
0.4,11.5085,22.7425,22.9585
0.45,14.1415,28.2555,28.3955
0.5,17.4855,34.1085,34.4105
0.55,20.7025,40.8575,40.8695
0.6,24.7255,47.6945,47.5525
0.65,28.9875,54.3425,54.2205
0.7,33.8195,60.9905,60.5925
0.75,38.1255,66.9535,66.3865
0.8,43.3985,72.0765,71.4855
0.85,48.1465,76.4755,75.9325
0.9,54.3565,80.1505,79.4815
0.95,60.0665,83.0955,82.4075
1.0,65.1385,85.7075,84.8485
