sigma_w_hat,PPS,CRA,MAF
0.05,9.468448,6.989277,6.533694
0.1,5.137779,5.703668,5.376092
0.15,4.150204,5.414917,5.112787
0.2,3.941166,5.254086,5.031012
0.25,3.904478,5.212974,5.002107
0.3,3.888351,5.209769,4.991035
0.35,3.894784,5.192815,4.986662
0.4,3.887067,5.186747,4.985004
0.45,3.887803,5.189154,4.984363
0.5,3.888171,5.174202,4.984228
0.55,3.889946,5.190043,4.984406
0.6,3.887166,5.182646,4.984576
0.65,3.885056,5.184083,4.984818
0.7,3.899791,5.202531,4.985153
0.75,3.885708,5.185612,4.985331
0.8,3.88756,5.191789,4.985536
0.85,3.895758,5.190277,4.985721
0.9,3.89087,5.194859,4.985887
0.95,3.888564,5.190378,4.985988
1.0,3.886115,5.198326,4.986119
