delta_F,PPS,CRA,MAF
-0.11,8.3355,10.9755,10.4485
-0.105,8.2695,10.9585,10.4435
-0.1,7.9565,10.9385,10.4385
-0.095,7.8065,10.9165,10.4335
-0.09,7.5905,10.8935,10.4295
-0.085,7.5055,10.8835,10.4275
-0.08,7.2745,10.8535,10.4235
-0.075,7.0935,10.8255,10.4195
-0.07,6.8995,10.8005,10.4185
-0.065,6.7555,10.7705,10.4155
-0.06,6.8025,10.7415,10.4135
-0.055,6.4685,10.7135,10.4105
-0.05,6.4405,10.6805,10.4075
-0.045,6.3275,10.6485,10.4035
-0.04,6.2865,10.6245,10.3995
-0.035,6.0745,10.5935,10.3985
-0.03,5.9875,10.5695,10.3985
-0.025,5.6325,10.2545,10.3965
-0.02,5.2385,10.2245,10.3945
-0.015,5.4045,10.1865,10.3965
-0.01,4.9965,10.2135,10.3965
-0.005,5.0395,10.1655,10.3985
0.0,4.9815,10.1665,10.3975
0.005,5.0555,10.2275,10.3975
0.01,5.0975,10.2445,10.3995
0.015,5.3105,10.2435,10.4035
0.02,5.0535,10.2495,10.3995
0.025,5.0835,10.3685,10.4035
0.03,5.4065,10.3665,10.4155
0.035,5.4725,10.4095,10.4285
0.04,5.5855,10.5145,10.4395
0.045,5.7175,10.6025,10.4605
0.05,5.8815,10.6925,10.4775
0.055,6.1015,10.9285,10.5005
0.06,6.6105,11.1305,10.5355
0.065,6.9585,11.4485,10.5835
0.07,7.3445,11.7875,10.6335
0.075,7.9105,12.3035,10.6995
0.08,8.7665,12.9205,10.7825
0.085,9.8765,13.7525,10.8785
0.09,11.8095,14.9585,11.0015
0.095,15.1265,16.6635,11.1495
0.1,22.9035,18.9635,11.3245
0.105,59.0425,22.6325,11.5405
0.11,93.1905,26.8195,11.8075
