sigma_w_hat,PPS,CRA,MAF
0.05,13.4155,11.8945,11.1095
0.1,6.4365,10.7415,10.5375
0.15,5.2885,10.5455,10.4215
0.2,5.0335,10.1545,10.4015
0.25,4.9815,10.1665,10.3975
0.3,5.1285,10.2315,10.3985
0.35,5.0745,10.1795,10.4005
0.4,5.0655,10.1785,10.4015
0.45,5.0035,10.1825,10.4055
0.5,5.0745,10.1425,10.4095
0.55,5.0025,10.2265,10.4135
0.6,5.0615,10.2205,10.4135
0.65,5.0905,10.2175,10.4145
0.7,5.1535,10.2625,10.4145
0.75,5.0795,10.2335,10.4155
0.8,5.1025,10.2375,10.4165
0.85,5.0195,10.2095,10.4175
0.9,5.0995,10.2425,10.4185
0.95,5.1405,10.2265,10.4195
1.0,5.1005,10.2935,10.4205
