Q,PPS,CRA,MAF
5,3.810804,6.906456,8.188993
6,2.700932,4.575671,5.387842
7,2.09038,3.156577,3.383548
8,1.704211,2.459588,2.451566
9,1.39547,1.898978,1.813077
10,1.125378,1.524437,1.482667
11,1.011843,1.270541,1.245529
12,0.919016,1.10481,1.105961
13,0.839016,1.012619,0.960024
14,0.775362,0.908941,0.872315
15,0.721487,0.818088,0.790155
16,0.674838,0.724248,0.723617
17,0.631744,0.699576,0.676501
18,0.596811,0.658258,0.633989
19,0.562149,0.60689,0.588768
20,0.532513,0.550272,0.550184
