Q,PPS,CRA,MAF
5,68.5205,89.1485,90.3185
6,50.1035,83.1585,85.5155
7,36.6455,73.7135,77.4015
8,25.6005,63.5205,61.8275
9,22.5275,46.0345,47.2205
10,17.7085,35.1375,35.2315
11,15.7195,27.6915,27.1665
12,14.3335,22.5995,23.3015
13,12.4915,20.1025,19.3105
14,11.2865,16.6055,16.8235
15,10.5415,15.5315,14.6465
16,9.7805,13.1315,12.9215
17,8.8875,12.0595,11.9715
18,8.3835,11.4675,11.0145
19,7.8535,10.6305,10.1235
20,7.8505,9.0785,9.1485
