sigma_w_hat,PPS,CRA,MAF
0.05,51.5945,41.9455,37.8055
0.1,23.7315,37.0965,35.2965
0.15,18.6395,36.1835,34.7235
0.2,17.5465,34.5245,34.5625
0.25,17.3065,34.3925,34.4605
0.3,17.7045,34.4945,34.4405
0.35,17.5085,34.2895,34.4275
0.4,17.4685,34.2995,34.4255
0.45,17.2535,34.3045,34.4125
0.5,17.4855,34.1085,34.4105
0.55,17.2645,34.2895,34.4065
0.6,17.4535,34.2805,34.4005
0.65,17.5455,34.2145,34.4085
0.7,17.7165,34.3315,34.4105
0.75,17.4675,34.2565,34.4135
0.8,17.5545,34.2615,34.4125
0.85,17.3255,34.2475,34.4105
0.9,17.5755,34.2985,34.4085
0.95,17.6875,34.2805,34.4065
1.0,17.5625,34.4895,34.4065
