abs_rate,PPS,CRA,MAF
1.000396935754178,8.0,10.0,7.0
1.116974149862859,8.0,10.0,7.0
1.2364511758906649,8.0,10.0,7.0
1.3585506227244015,8.0,10.0,7.0
1.4830287583331094,8.0,10.0,7.0
1.609670559048644,8.0,10.0,7.0
1.7382856076041613,8.0,10.0,7.0
1.8687046748932967,8.0,10.0,7.0
2.000776856094949,8.0,10.0,7.0
2.1343671590401234,8.0,11.0,7.0
2.2693544636458034,8.0,10.0,7.0
2.4056297874757844,8.0,10.0,7.0
2.543094805158927,8.0,11.0,7.0
2.68166057935277,8.0,11.0,7.0
2.8212464688112644,8.0,11.0,7.0
2.9617791853787736,8.0,11.0,7.0
3.103191976741448,8.0,11.0,7.0
3.245423915796751,8.0,11.0,7.0
3.3884192807599343,8.0,11.0,7.0
3.532127012773514,8.0,11.0,7.0
3.6765002399459594,8.0,11.0,7.0
3.8214958585183796,8.0,11.0,7.0
3.967074163317112,8.0,11.0,7.0
4.113198520856031,8.0,11.0,7.0
4.259835079454997,8.0,11.0,7.0
4.406952511575328,8.0,11.0,7.0
4.554521784270836,8.0,11.0,7.0
4.7025159542395905,8.0,10.0,7.0
4.850909984454672,8.0,11.0,7.0
4.999680579768989,8.0,11.0,7.0
