Q,PPS,CRA,MAF
5,93.4485,98.8205,98.8775
6,79.0605,97.6915,98.3155
7,57.3965,95.9405,96.8705
8,41.2045,92.1575,92.9655
9,36.0425,77.0465,84.1245
10,27.5995,61.4895,64.7845
11,25.5355,51.2485,49.6485
12,21.8455,42.1285,42.6305
13,18.9315,36.5565,32.3145
14,17.3895,29.1565,30.0425
15,16.3095,26.3235,23.7925
16,15.3735,21.6385,20.6205
17,14.3305,19.2565,19.5255
18,13.0755,19.6845,18.4355
19,12.0955,18.4715,16.1885
20,12.5735,14.5615,14.8315
