Q,PPS,CRA,MAF
5,15.0,16.0,12.0
6,10.0,12.0,10.0
7,8.0,9.0,8.0
8,7.0,7.0,7.0
9,6.0,8.0,6.0
10,6.0,6.0,6.0
11,5.0,5.0,5.0
12,5.0,5.0,4.0
13,4.0,5.0,4.0
14,4.0,4.0,4.0
15,4.0,4.0,3.0
16,3.0,3.0,3.0
17,3.0,3.0,3.0
18,3.0,3.0,3.0
19,3.0,3.0,3.0
20,2.0,2.0,2.0
